Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,257.000000,262.500000,252.000000,255.000000,249.345734,76466709
2020-03-24,268.000000,274.000000,266.000000,267.500000,261.568573,81952933
2020-03-25,276.500000,280.000000,274.000000,277.000000,270.857910,79447199
2020-03-26,279.500000,280.000000,275.500000,280.000000,273.791412,52845633
2020-03-27,284.000000,286.000000,273.000000,273.000000,266.946594,68752306
2020-03-30,263.500000,269.000000,262.500000,267.500000,261.568573,49159956
2020-03-31,273.000000,274.000000,269.500000,274.000000,267.924438,48837923
2020-04-01,276.500000,276.500000,271.500000,271.500000,265.479858,44515034
2020-04-06,273.000000,275.500000,270.000000,275.500000,269.391174,56392754
2020-04-07,283.500000,284.000000,280.500000,283.000000,276.724884,48787346
2020-04-08,285.000000,285.500000,283.000000,285.000000,278.680511,37912826
2020-04-09,287.500000,288.000000,282.500000,283.000000,276.724884,27620430
2020-04-10,280.000000,282.000000,279.000000,279.500000,273.302460,27252858
2020-04-13,278.500000,281.500000,278.500000,278.500000,272.324646,22196596
2020-04-14,281.000000,285.500000,280.000000,285.000000,278.680511,48809688
2020-04-15,287.000000,288.500000,286.000000,287.500000,281.125092,55216434
2020-04-16,283.000000,288.500000,283.000000,286.500000,280.147278,47815280
2020-04-17,303.500000,308.500000,300.500000,306.500000,299.703796,116368201
2020-04-20,308.000000,309.000000,302.500000,304.000000,297.259216,41381669
2020-04-21,300.500000,301.500000,293.500000,295.000000,288.458801,61479357
2020-04-22,294.500000,295.000000,290.500000,294.000000,287.480957,42192580
2020-04-23,300.000000,300.000000,294.000000,295.500000,288.947723,39474478
2020-04-24,295.500000,297.000000,294.000000,294.000000,287.480957,26008090
2020-04-27,298.000000,298.500000,296.000000,298.000000,291.392273,38493406
2020-04-28,298.500000,298.500000,294.500000,296.500000,289.925507,37395165
2020-04-29,299.000000,301.500000,298.000000,299.000000,292.370087,44059301
2020-04-30,302.000000,305.000000,301.500000,304.500000,297.748169,55126085
2020-05-04,294.500000,296.500000,294.000000,295.000000,288.458801,71581861
2020-05-05,296.500000,298.000000,295.000000,295.500000,288.947723,23547405
2020-05-06,294.500000,296.000000,292.500000,296.000000,289.436615,34240479
2020-05-07,294.500000,299.000000,294.500000,297.500000,290.903320,27621198
2020-05-08,300.000000,300.000000,296.000000,297.500000,290.903320,32295893
2020-05-11,300.000000,301.500000,298.500000,301.000000,294.325745,28727019
2020-05-12,297.500000,298.500000,295.000000,295.000000,288.458801,52089788
2020-05-13,293.000000,297.000000,292.500000,297.000000,290.414429,26156418
2020-05-14,293.000000,295.000000,292.500000,293.000000,286.503143,34315948
2020-05-15,297.500000,298.500000,294.500000,298.000000,291.392273,42494804
2020-05-18,291.000000,293.500000,290.000000,290.000000,283.569672,84986065
